radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
69.640591,0.547,-12.255845,0.242,11,14.41,0.056,15.071,0.064,14.683,0.044,14.234,0.035,14.075,0.053
69.543191,0.714,-12.205886,0.406,11,14.582,0.05,15.185,0.074,14.833,0.05,14.385,0.039,14.234,0.061
69.548915,0.77,-12.327287,0.495,11,14.757,0.05,15.425,0.109,15.025,0.046,14.54,0.052,14.378,0.052
69.584612,0.67,-12.170201,0.62,11,14.832,0.042,15.627,0.036,15.187,0.059,14.55,0.032,14.33,0.092
69.475855,0.705,-12.388198,0.414,9,14.873,0.052,15.517,0.07,15.166,0.048,14.676,0.048,14.537,0.077
69.519851,0.785,-12.368949,0.451,9,14.954,0.055,15.544,0.074,15.216,0.043,14.835,0.04,14.717,0.084
69.636118,0.764,-12.321806,0.74,10,15.551,0.036,16.816,0.102,16.194,0.053,14.933,0.05,14.418,0.067
69.655953,0.747,-12.332783,0.506,11,15.166,0.045,15.88,0.078,15.47,0.064,14.953,0.049,14.707,0.102
69.590653,0.826,-12.208327,0.996,5,15.599,0.009,17.015,0.078,16.341,0.027,15.069,0.066,14.626,0.119
69.619932,0.634,-12.284431,0.476,9,15.535,0.046,16.702,0.128,16.026,0.068,15.119,0.041,14.675,0.052
69.57487,0.918,-12.234558,0.768,11,15.301,0.077,15.9,0.082,15.534,0.078,15.122,0.013,14.972,0.111
69.451262,1.119,-12.33477,0.591,8,15.511,0.049,16.48,0.071,15.954,0.025,15.126,0.054,14.793,0.076
69.513974,0.67,-12.250845,0.516,10,15.306,0.038,15.909,0.084,15.586,0.05,15.18,0.055,14.938,0.095
69.614673,0.83,-12.34922,0.668,10,15.414,0.089,16.107,0.14,15.695,0.07,15.189,0.056,15.056,0.119
69.518257,0.933,-12.194263,0.653,11,15.414,0.069,16.108,0.073,15.721,0.063,15.196,0.034,15.07,0.099
69.604793,0.606,-12.173742,0.68,10,15.409,0.033,16.111,0.089,15.673,0.044,15.214,0.035,15.033,0.1
69.62486,0.819,-12.3274,0.679,10,15.459,0.048,16.187,0.1,15.765,0.077,15.233,0.043,15.033,0.11
69.55062,0.885,-12.206157,0.708,10,15.592,0.066,16.46,0.081,15.996,0.063,15.273,0.032,15.032,0.092
69.542985,0.93,-12.160042,0.779,10,15.721,0.033,16.381,0.082,15.997,0.04,15.475,0.057,15.229,0.195
69.54281,0.964,-12.160144,0.893,5,15.686,0.061,16.389,0.051,15.962,0.044,15.5,0.053,15.178,0.039
69.443909,0.887,-12.363954,0.783,8,15.926,0.05,16.876,0.158,16.337,0.069,15.616,0.057,15.295,0.05
69.562486,0.685,-12.417176,0.953,7,16.066,0.067,16.639,0.094,16.246,0.04,15.794,0.07,NA,NA
69.680903,1.137,-12.350114,0.74,8,16.14,0.03,17.227,0.082,16.646,0.078,15.882,0.086,15.325,0.069
69.656465,1.073,-12.38184,0.499,5,16.276,0.027,17.219,0.183,16.776,0.105,15.899,0.074,NA,NA
69.481217,0.573,-12.267304,0.87,4,16.381,0.067,17.178,0.027,16.836,0,16.048,0,15.668,-0.154
69.454078,1.234,-12.279477,1.082,7,16.398,0.068,17.159,0.095,16.711,0.062,16.068,0.069,15.624,0.266
69.446589,0.922,-12.246554,0.79,6,16.411,0.065,16.851,0.046,16.619,0.078,16.133,0.041,NA,NA
69.610703,0.623,-12.212142,0.99,7,16.421,0.138,17.044,0.168,16.632,0.105,16.167,0.058,NA,NA
69.636094,1.047,-12.359641,0.759,6,16.497,0.055,16.974,0.124,16.691,0.098,16.29,0.108,16.15,0
69.479453,1.092,-12.177575,1.32,5,16.514,0.043,17.065,0.131,16.727,0.042,16.42,0.099,NA,NA
69.452502,1.482,-12.192079,0.529,2,17.009,-0.147,NA,NA,17.187,0,16.561,0,NA,NA
69.554657,0.531,-12.297035,1.507,2,17.566,0.507,18.314,0.099,NA,NA,NA,NA,NA,NA
69.479637,1.71,-12.177977,0.383,2,16.531,0,16.983,0,NA,NA,NA,NA,16.157,-0.212
