filename mjd
lsc1m009-fl03-20141110-0107-e90.fits 56972.0841149
lsc1m009-fl03-20141110-0108-e90.fits 56972.0882081
lsc1m009-fl03-20141110-0109-e90.fits 56972.0922453
lsc1m009-fl03-20141110-0110-e90.fits 56972.0964601
lsc1m009-fl03-20141110-0111-e90.fits 56972.100525
lsc1m009-fl03-20141110-0112-e90.fits 56972.1045606
lsc1m009-fl03-20141110-0113-e90.fits 56972.1087301
lsc1m009-fl03-20141110-0114-e90.fits 56972.112812
lsc1m009-fl03-20141110-0115-e90.fits 56972.1168416
lsc1m004-fl04-20141110-0111-e90.fits 56972.1679837
lsc1m004-fl04-20141110-0112-e90.fits 56972.1720396
lsc1m004-fl04-20141110-0113-e90.fits 56972.1760583
lsc1m004-fl04-20141110-0114-e90.fits 56972.1802764
lsc1m004-fl04-20141110-0115-e90.fits 56972.1843421
lsc1m004-fl04-20141110-0116-e90.fits 56972.1883681
lsc1m004-fl04-20141110-0117-e90.fits 56972.1925445
lsc1m004-fl04-20141110-0118-e90.fits 56972.1966023
lsc1m004-fl04-20141110-0119-e90.fits 56972.2006263
coj1m011-kb05-20141111-0110-e90.fits 56972.4591941
coj1m011-kb05-20141111-0111-e90.fits 56972.4628486
coj1m011-kb05-20141111-0112-e90.fits 56972.4665097
coj1m011-kb05-20141111-0113-e90.fits 56972.4701635
coj1m011-kb05-20141111-0114-e90.fits 56972.4738205
coj1m011-kb05-20141111-0115-e90.fits 56972.4774972
coj1m011-kb05-20141111-0116-e90.fits 56972.4811564
coj1m011-kb05-20141111-0117-e90.fits 56972.4848157
coj1m011-kb05-20141111-0118-e90.fits 56972.4884685
coj1m011-kb05-20141111-0119-e90.fits 56972.4921267
lsc1m009-fl03-20141201-0115-e90.fits 56993.2122035
lsc1m009-fl03-20141201-0116-e90.fits 56993.2232163
lsc1m009-fl03-20141201-0117-e90.fits 56993.2341927
lsc1m009-fl03-20141201-0118-e90.fits 56993.2451697
lsc1m004-fl04-20141201-0121-e90.fits 56993.2715861
lsc1m004-fl04-20141201-0122-e90.fits 56993.2826091
lsc1m004-fl04-20141201-0123-e90.fits 56993.2935901
lsc1m004-fl04-20141201-0124-e90.fits 56993.3045593
lsc1m004-fl04-20141216-0075-e90.fits 57008.0353569
lsc1m004-fl04-20141216-0076-e90.fits 57008.0394209
lsc1m004-fl04-20141216-0077-e90.fits 57008.0434403
lsc1m004-fl04-20141216-0078-e90.fits 57008.0474871
lsc1m004-fl04-20141216-0079-e90.fits 57008.0515023
lsc1m004-fl04-20141216-0080-e90.fits 57008.0555272
lsc1m004-fl04-20141216-0081-e90.fits 57008.0597119
lsc1m004-fl04-20141216-0082-e90.fits 57008.0639228
lsc1m004-fl04-20141216-0083-e90.fits 57008.0679823
lsc1m004-fl04-20141216-0084-e90.fits 57008.0720166
lsc1m004-fl04-20141216-0085-e90.fits 57008.0760385
lsc1m004-fl04-20141216-0086-e90.fits 57008.08006
lsc1m004-fl04-20141216-0087-e90.fits 57008.0841032
lsc1m004-fl04-20141216-0088-e90.fits 57008.0881272
lsc1m004-fl04-20141216-0089-e90.fits 57008.0921436
